# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
396 499.741 205.537 133.374
397 519.6 197.485 117.589
398 541.855 193.999 108.894
399 565.547 195.293 107.452
400 589.509 201.964 111.861
401 612.611 213.346 119.179
402 633.265 228.704 126.245
403 649.966 246.886 129.367
404 661.618 265.97 125.524
405 667.833 284.394 113.12
406 669.277 300.572 92.1289
407 667.68 313.128 64.1293
408 665.888 320.601 32.0976
409 667.494 322.299 -0.829511
410 675.46 317.663 -30.7416
411 692.048 306.961 -54.5898
412 718.781 290.583 -69.8814
413 755.818 269.755 -75.155
414 802.261 246.477 -70.2386
415 856.427 222.326 -55.8513
416 916.202 198.826 -33.7216
417 978.511 176.688 -6.55993
418 1040 155.504 22.1953
419 1096.85 133.752 49.053
420 1145.03 110.01 70.2563
421 1180.56 82.8986 83.2401
422 1200.6 51.601 86.4288
423 1203.41 15.6519 79.9189
424 1189.16 -24.9365 65.4656
425 1160.23 -69.276 45.4802
426 1120.46 -116.06 22.6845
427 1074.34 -163.214 -0.483298
428 1026.18 -208.088 -22.4711
429 979.792 -247.979 -42.2189
430 937.92 -280.073 -59.4234
431 902.79 -302.559 -74.3592
432 875.643 -315.234 -87.7706
433 856.862 -318.497 -101.357
434 845.823 -313.984 -116.629
435 840.573 -304.417 -134.958
436 838.087 -292.712 -157.206
437 835.609 -282.042 -183.15
438 829.852 -275.694 -211.835
439 818.96 -276.304 -240.714
440 802.498 -286.09 -267.553
441 781.169 -305.854 -289.275
442 756.54 -335.466 -303.04
443 730.355 -373.374 -306.637
444 703.281 -416.887 -298.516
445 675.496 -462.873 -277.46
446 645.982 -508.35 -243.539
447 614.041 -550.999 -196.951
448 578.676 -589.094 -139.558
449 540.001 -621.685 -74.2539
450 498.74 -648.069 -5.16138
451 455.915 -668.243 62.9249
452 412.548 -682.462 125.271
453 369.122 -691.496 177.597
454 326.378 -696.565 216.857
455 285.026 -699.12 242.055
456 246.146 -700.363 253.474
457 211.793 -701.453 252.571
458 184.216 -703.017 241.783
459 165.694 -705.7 223.2
460 157.584 -709.426 199.329
461 160.602 -714.132 172.086
462 173.639 -718.618 144.097
463 194.885 -721.937 117.986
464 221.321 -722.925 96.3002
465 249.501 -720.814 81.4283
466 275.56 -715.253 74.6952
467 296.06 -707.382 76.2635
468 308.323 -698.031 85.1839
469 311.085 -687.981 99.1848
470 304.475 -677.271 115.034
471 289.598 -664.393 129.717
472 269.015 -647.27 140.358
473 245.529 -623.478 144.882
474 222.365 -591.11 142.836
475 202.369 -549.616 133.963
476 187.48 -499.876 118.626
477 178.845 -444.778 97.6264
478 176.916 -388.514 71.7851
479 181.479 -335.355 41.7099
480 191.758 -289.57 8.38257
