# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
296 -201.922 213.806 305.929
297 -174.729 235.504 274.906
298 -155.144 253.788 243.481
299 -144.788 266.079 213.867
300 -143.856 270.866 187.652
301 -151.218 266.815 165.625
302 -165.044 253.778 147.425
303 -182.574 232.247 132.408
304 -200.843 203.601 120.096
305 -217.2 169.471 110.594
306 -229.821 131.2 103.969
307 -237.609 90.562 100.912
308 -240.139 48.9202 101.703
309 -237.41 7.66257 105.925
310 -229.382 -31.7021 112.931
311 -216.007 -67.4275 121.729
312 -197.145 -98.2883 131.83
313 -173.586 -123.502 143.295
314 -146.064 -142.569 157.181
315 -115.744 -155.61 174.857
316 -84.2005 -163.054 197.902
317 -52.5584 -165.59 227.194
318 -22.7689 -164.157 262.362
319 3.75351 -159.558 302.104
320 25.2115 -153.154 344.162
321 40.1084 -146.205 385.648
322 47.1855 -140.351 423.763
323 46.4084 -136.975 456.476
324 38.189 -136.918 481.854
325 24.5652 -140.584 499.171
326 8.05893 -147.937 507.708
327 -8.54361 -158.087 507.764
328 -22.5731 -169.811 499.673
329 -31.6203 -181.961 484.857
330 -34.0839 -193.107 464.798
331 -29.2573 -202.07 441.477
332 -16.569 -208.071 416.863
333 3.4515 -210.018 392.551
334 30.2282 -207.463 368.976
335 61.9033 -200.478 345.954
336 96.9185 -189.494 322.142
337 132.762 -175.524 296.347
338 166.383 -160.283 267.186
339 195.329 -145.895 233.897
340 217.456 -134.58 196.773
341 231.504 -128.216 156.656
342 237.314 -129.004 115.233
343 236.031 -138.287 74.9701
344 229.761 -156.686 37.9129
345 220.982 -183.886 6.05059
346 212.658 -218.577 -19.0408
347 207.28 -258.675 -36.284
348 206.782 -301.649 -44.9907
349 212.07 -344.908 -44.9214
350 223.166 -385.874 -35.8973
351 238.576 -422.448 -18.732
352 256.112 -452.882 4.98679
353 272.849 -476.103 32.9871
354 285.992 -491.72 62.1351
355 293.254 -500.303 89.3206
356 293.025 -502.372 111.671
357 284.578 -498.89 127.302
358 268.2 -491.379 135.262
359 244.555 -480.926 135.932
360 214.629 -468.957 130.439
361 179.641 -456.652 120.717
362 140.805 -445.074 108.789
363 99.4554 -435.05 96.7403
364 56.4209 -426.847 86.0599
365 12.5024 -419.891 77.7082
366 -31.859 -412.998 71.545
367 -76.4624 -404.542 66.6904
368 -121.827 -392.571 61.2925
369 -167.958 -374.849 53.5708
370 -215.126 -349.764 41.6049
371 -263.454 -315.956 23.8173
372 -312.491 -272.81 -0.373863
373 -361.42 -220.913 -30.9282
374 -408.736 -161.62 -66.7985
375 -453.04 -96.8666 -105.807
376 -492.636 -29.6777 -145.545
377 -526.781 36.7007 -183.27
378 -554.929 99.0221 -216.214
379 -577.031 154.352 -242.334
380 -593.594 200.481 -259.62
381 -604.327 235.687 -267.198
382 -608.645 258.749 -264.986
383 -605.144 269.297 -254.418
384 -592.344 267.558 -238.098
385 -569.098 254.343 -219.079
386 -535.081 230.991 -201.216
387 -491.519 199.226 -187.704
388 -440.827 161.377 -181.205
389 -386.886 119.283 -183.215
390 -334.332 75.4019 -193.842
391 -287.126 31.7411 -211.684
392 -248.386 -9.8462 -234.42
393 -219.762 -47.7187 -258.758
394 -201.691 -80.7339 -281.544
395 -192.855 -108.726 -299.661
396 -191.043 -131.927 -310.851
397 -193.121 -151.956 -313.567
398 -195.422 -170.589 -306.939
399 -194.117 -189.833 -290.712
400 -186.002 -211.35 -265.456
401 -168.973 -235.824 -231.969
402 -142.689 -263.142 -191.132
403 -108.731 -291.683 -144.303
404 -70.5269 -318.945 -93.1809
405 -32.8343 -341.66 -39.7253
406 -0.506591 -356.859 13.6828
407 21.9601 -362.105 64.4291
408 31.4561 -355.963 109.843
409 26.7496 -338.883 147.621
410 7.96274 -312.682 176.009
411 -23.846 -280.215 193.754
412 -66.5239 -244.906 200.876
413 -117.689 -210.054 197.508
414 -174.209 -178.881 184.944
415 -232.78 -153.549 165.029
416 -289.704 -135.148 139.994
417 -341.122 -123.318 111.956
418 -383.116 -116.505 83.2476
419 -412.971 -113.004 55.832
420 -428.87 -110.861 31.2086
421 -430.473 -109.232 10.2535
422 -418.699 -107.302 -6.5633
423 -396.152 -104.952 -19.5907
424 -366.212 -102.498 -29.4508
425 -332.879 -100.052 -37.1216
426 -299.822 -97.3995 -43.7015
427 -270.412 -94.5319 -50.5698
428 -246.521 -91.4669 -59.236
429 -228.268 -88.162 -71.8564
430 -214.731 -84.5386 -90.4216
431 -204.05 -80.2854 -116.073
432 -193.546 -74.901 -150.587
433 -180.796 -67.0959 -194.017
434 -164.135 -55.3787 -245.372
435 -142.837 -37.7525 -302.687
436 -116.765 -12.3682 -363.199
437 -86.8649 22.3107 -423.403
438 -54.5702 67.6595 -480.569
439 -21.3516 123.346 -531.81
440 11.3012 188.104 -575.147
441 42.0563 259.15 -609.018
442 70.1306 332.577 -632.173
443 95.3906 403.982 -643.755
444 118.354 468.761 -644.117
445 139.421 522.886 -633.969
446 159.683 563.438 -615.651
447 179.447 588.697 -591.454
448 199.038 598.714 -564.263
449 218.421 594.969 -536.501
450 236.845 580.298 -509.346
451 253.223 558.657 -482.921
452 266.106 534.077 -456.515
453 273.896 510.835 -428.676
454 274.87 492.281 -398.091
455 267.879 481.476 -364.106
456 252.805 480.65 -326.577
457 230.646 491.201 -286.256
458 203.1 513.349 -244.476
459 172.186 545.863 -202.959
460 140.483 586.11 -163.552
