# Chunk-averaged data for fix gmap and group gas
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/mass
100000 37280 331.00000000000296
  407 0.75 86.75 0 0
  408 0.75 87.25 0 0
  409 0.75 87.75 0 0
  410 0.75 88.25 0 0
  411 0.75 88.75 0 0
  412 0.75 89.25 0 0
  413 0.75 89.75 0 0
  414 0.75 90.25 0 0
  415 0.75 90.75 0 0
  416 0.75 91.25 0 0
  417 0.75 91.75 0 0
  418 0.75 92.25 0 0
  419 0.75 92.75 0 0
  420 0.75 93.25 0 0
  421 0.75 93.75 0 0
  422 0.75 94.25 0 0
  423 0.75 94.75 0 0
  424 0.75 95.25 0 0
  425 0.75 95.75 0 0
  426 0.75 96.25 0 0
  427 0.75 96.75 0 0
  428 0.75 97.25 0 0
  429 0.75 97.75 0 0
  430 0.75 98.25 0 0
  431 0.75 98.75 0 0
  432 0.75 99.25 0 0
  433 0.75 99.75 0 0
  434 0.75 100.25 0 0
  435 0.75 100.75 0 0
  436 0.75 101.25 0 0
  437 0.75 101.75 0 0
  438 0.75 102.25 0 0
  439 0.75 102.75 0 0
  440 0.75 103.25 0 0
  441 0.75 103.75 0 0
  442 0.75 104.25 0 0
  443 0.75 104.75 0 0
  444 0.75 105.25 0 0
  445 0.75 105.75 0 0
  446 0.75 106.25 0 0
  447 0.75 106.75 0 0
  448 0.75 107.25 0 0
  449 0.75 107.75 0 0
  450 0.75 108.25 0 0
  451 0.75 108.75 0 0
  452 0.75 109.25 0 0
  453 0.75 109.75 0 0
  454 0.75 110.25 0 0
  455 0.75 110.75 0 0
  456 0.75 111.25 0 0
  457 0.75 111.75 0 0
  458 0.75 112.25 0 0
  459 0.75 112.75 0 0
  460 0.75 113.25 0 0
  461 0.75 113.75 0 0
  462 0.75 114.25 0 0
  463 0.75 114.75 0 0
  464 0.75 115.25 0 0
  465 0.75 115.75 0 0
  466 0.75 116.25 0 0
  467 1.25 0.25 0 0
  468 1.25 0.75 0 0
  469 1.25 1.25 0 0
  470 1.25 1.75 0 0
  471 1.25 2.25 0 0
  472 1.25 2.75 0 0
  473 1.25 3.25 0 0
  474 1.25 3.75 0 0
  475 1.25 4.25 0 0
  476 1.25 4.75 0 0
  477 1.25 5.25 0 0
  478 1.25 5.75 0.0004 0.000178531
  479 1.25 6.25 0.008 0.00357061
  480 1.25 6.75 0.009 0.00401694
  481 1.25 7.25 0.0046 0.0020531
  482 1.25 7.75 0.0094 0.00419547
  483 1.25 8.25 0.0116 0.00517739
  484 1.25 8.75 0.012 0.00535592
  485 1.25 9.25 0.0088 0.00392767
  486 1.25 9.75 0.0082 0.00365988
  487 1.25 10.25 0.0358 0.0159785
  488 1.25 10.75 0.152 0.0678416
  489 1.25 11.25 0.121 0.0540055
  490 1.25 11.75 0.0858 0.0382948
  491 1.25 12.25 0.0632 0.0282078
  492 1.25 12.75 0.0644 0.0287434
  493 1.25 13.25 0.0766 0.0341886
  494 1.25 13.75 0.0772 0.0344564
  495 1.25 14.25 0.0722 0.0322248
  496 1.25 14.75 0.0672 0.0299931
  497 1.25 15.25 0.0654 0.0291897
  498 1.25 15.75 0.0628 0.0280293
  499 1.25 16.25 0.0602 0.0268688
  500 1.25 16.75 0.0582 0.0259762
  501 1.25 17.25 0.0548 0.0244587
  502 1.25 17.75 0.0576 0.0257084
  503 1.25 18.25 0.0572 0.0255299
  504 1.25 18.75 0.0538 0.0240124
  505 1.25 19.25 0.0598 0.0266903
  506 1.25 19.75 0.0462 0.0206203
  507 1.25 20.25 0.0364 0.0162463
  508 1.25 20.75 0.0448 0.0199954
  509 1.25 21.25 0.036 0.0160677
  510 1.25 21.75 0.0302 0.0134791
  511 1.25 22.25 0.0242 0.0108011
  512 1.25 22.75 0.0188 0.00839093
  513 1.25 23.25 0.0122 0.00544518
  514 1.25 23.75 0.0086 0.00383841
  515 1.25 24.25 0.0058 0.00258869
  516 1.25 24.75 0.0028 0.00124971
  517 1.25 25.25 0.002 0.000892653
  518 1.25 25.75 0.0004 0.000178531
  519 1.25 26.25 0.0008 0.000357061
  520 1.25 26.75 0.0002 8.92653e-05
  521 1.25 27.25 0 0
  522 1.25 27.75 0 0
  523 1.25 28.25 0 0
  524 1.25 28.75 0 0
  525 1.25 29.25 0 0
  526 1.25 29.75 0 0
  527 1.25 30.25 0 0
  528 1.25 30.75 0 0
  529 1.25 31.25 0 0
  530 1.25 31.75 0 0
  531 1.25 32.25 0 0
  532 1.25 32.75 0 0
  533 1.25 33.25 0 0
  534 1.25 33.75 0 0
  535 1.25 34.25 0 0
  536 1.25 34.75 0 0
  537 1.25 35.25 0 0
  538 1.25 35.75 0 0
  539 1.25 36.25 0 0
  540 1.25 36.75 0 0
  541 1.25 37.25 0 0
  542 1.25 37.75 0 0
  543 1.25 38.25 0 0
  544 1.25 38.75 0 0
  545 1.25 39.25 0 0
  546 1.25 39.75 0 0
  547 1.25 40.25 0 0
  548 1.25 40.75 0 0
  549 1.25 41.25 0 0
  550 1.25 41.75 0 0
  551 1.25 42.25 0 0
  552 1.25 42.75 0 0
  553 1.25 43.25 0 0
  554 1.25 43.75 0 0
  555 1.25 44.25 0 0
  556 1.25 44.75 0 0
  557 1.25 45.25 0 0
  558 1.25 45.75 0 0
  559 1.25 46.25 0 0
  560 1.25 46.75 0 0
  561 1.25 47.25 0 0
  562 1.25 47.75 0 0
  563 1.25 48.25 0 0
  564 1.25 48.75 0 0
  565 1.25 49.25 0 0
  566 1.25 49.75 0 0
  567 1.25 50.25 0 0
  568 1.25 50.75 0 0
  569 1.25 51.25 0 0
  570 1.25 51.75 0 0
  571 1.25 52.25 0 0
  572 1.25 52.75 0 0
  573 1.25 53.25 0 0
  574 1.25 53.75 0 0
  575 1.25 54.25 0 0
  576 1.25 54.75 0 0
  577 1.25 55.25 0 0
  578 1.25 55.75 0 0
  579 1.25 56.25 0 0
  580 1.25 56.75 0 0
  581 1.25 57.25 0 0
  582 1.25 57.75 0 0
  583 1.25 58.25 0 0
  584 1.25 58.75 0 0
  585 1.25 59.25 0 0
  586 1.25 59.75 0 0
  587 1.25 60.25 0 0
  588 1.25 60.75 0 0
  589 1.25 61.25 0 0
  590 1.25 61.75 0 0
  591 1.25 62.25 0 0
  592 1.25 62.75 0 0
  593 1.25 63.25 0 0
  594 1.25 63.75 0 0
  595 1.25 64.25 0 0
  596 1.25 64.75 0 0
  597 1.25 65.25 0 0
  598 1.25 65.75 0 0
  599 1.25 66.25 0 0
  600 1.25 66.75 0 0
  601 1.25 67.25 0 0
  602 1.25 67.75 0 0
  603 1.25 68.25 0 0
  604 1.25 68.75 0 0
  605 1.25 69.25 0 0
  606 1.25 69.75 0 0
  607 1.25 70.25 0 0
  608 1.25 70.75 0 0
  609 1.25 71.25 0 0
  610 1.25 71.75 0 0
  611 1.25 72.25 0 0
  612 1.25 72.75 0 0
  613 1.25 73.25 0 0
  614 1.25 73.75 0 0
  615 1.25 74.25 0 0
  616 1.25 74.75 0 0
  617 1.25 75.25 0 0
  618 1.25 75.75 0 0
  619 1.25 76.25 0 0
  620 1.25 76.75 0 0
  621 1.25 77.25 0 0
  622 1.25 77.75 0 0
  623 1.25 78.25 0 0
  624 1.25 78.75 0 0
  625 1.25 79.25 0 0
  626 1.25 79.75 0 0
  627 1.25 80.25 0 0
  628 1.25 80.75 0 0
  629 1.25 81.25 0 0
  630 1.25 81.75 0 0
  631 1.25 82.25 0 0
  632 1.25 82.75 0 0
  633 1.25 83.25 0 0
  634 1.25 83.75 0 0
  635 1.25 84.25 0 0
  636 1.25 84.75 0 0
  637 1.25 85.25 0 0
  638 1.25 85.75 0 0
  639 1.25 86.25 0 0
  640 1.25 86.75 0 0
  641 1.25 87.25 0 0
  642 1.25 87.75 0 0
  643 1.25 88.25 0 0
  644 1.25 88.75 0 0
  645 1.25 89.25 0 0
  646 1.25 89.75 0 0
  647 1.25 90.25 0 0
  648 1.25 90.75 0 0
  649 1.25 91.25 0 0
  650 1.25 91.75 0 0
  651 1.25 92.25 0 0
  652 1.25 92.75 0 0
  653 1.25 93.25 0 0
  654 1.25 93.75 0 0
  655 1.25 94.25 0 0
  656 1.25 94.75 0 0
  657 1.25 95.25 0 0
  658 1.25 95.75 0 0
  659 1.25 96.25 0 0
  660 1.25 96.75 0 0
  661 1.25 97.25 0 0
  662 1.25 97.75 0 0
  663 1.25 98.25 0 0
  664 1.25 98.75 0 0
  665 1.25 99.25 0 0
  666 1.25 99.75 0 0
  667 1.25 100.25 0 0
  668 1.25 100.75 0 0
  669 1.25 101.25 0 0
  670 1.25 101.75 0 0
  671 1.25 102.25 0 0
  672 1.25 102.75 0 0
  673 1.25 103.25 0 0
  674 1.25 103.75 0 0
  675 1.25 104.25 0 0
  676 1.25 104.75 0 0
  677 1.25 105.25 0 0
  678 1.25 105.75 0 0
  679 1.25 106.25 0 0
  680 1.25 106.75 0 0
  681 1.25 107.25 0 0
  682 1.25 107.75 0 0
  683 1.25 108.25 0 0
  684 1.25 108.75 0 0
  685 1.25 109.25 0 0
  686 1.25 109.75 0 0
  687 1.25 110.25 0 0
  688 1.25 110.75 0 0
  689 1.25 111.25 0 0
  690 1.25 111.75 0 0
  691 1.25 112.25 0 0
  692 1.25 112.75 0 0
  693 1.25 113.25 0 0
  694 1.25 113.75 0 0
  695 1.25 114.25 0 0
  696 1.25 114.75 0 0
  697 1.25 115.25 0 0
  698 1.25 115.75 0 0
  699 1.25 116.25 0 0
  700 1.75 0.25 0 0
  701 1.75 0.75 0 0
  702 1.75 1.25 0 0
  703 1.75 1.75 0 0
  704 1.75 2.25 0 0
  705 1.75 2.75 0 0
  706 1.75 3.25 0 0
  707 1.75 3.75 0 0
  708 1.75 4.25 0 0
  709 1.75 4.75 0 0
  710 1.75 5.25 0 0
  711 1.75 5.75 0.0004 0.000178531
  712 1.75 6.25 0.0058 0.00258869
  713 1.75 6.75 0.0044 0.00196384
  714 1.75 7.25 0.0052 0.0023209
  715 1.75 7.75 0.0042 0.00187457
  716 1.75 8.25 0.01 0.00446326
  717 1.75 8.75 0.0092 0.0041062
  718 1.75 9.25 0.0094 0.00419547
  719 1.75 9.75 0.0094 0.00419547
  720 1.75 10.25 0.0346 0.0154429
  721 1.75 10.75 0.1526 0.0681094
  722 1.75 11.25 0.1162 0.0518631
  723 1.75 11.75 0.0848 0.0378485
  724 1.75 12.25 0.0702 0.0313321
  725 1.75 12.75 0.0614 0.0274044
  726 1.75 13.25 0.0596 0.026601
  727 1.75 13.75 0.0734 0.0327603
  728 1.75 14.25 0.0724 0.032314
  729 1.75 14.75 0.0632 0.0282078
  730 1.75 15.25 0.0664 0.0296361
  731 1.75 15.75 0.0608 0.0271366
  732 1.75 16.25 0.0604 0.0269581
  733 1.75 16.75 0.0626 0.02794
  734 1.75 17.25 0.0608 0.0271366
  735 1.75 17.75 0.0602 0.0268688
  736 1.75 18.25 0.0606 0.0270474
  737 1.75 18.75 0.0552 0.0246372
  738 1.75 19.25 0.0484 0.0216022
  739 1.75 19.75 0.0486 0.0216915
  740 1.75 20.25 0.0492 0.0219593
  741 1.75 20.75 0.0384 0.0171389
  742 1.75 21.25 0.035 0.0156214
  743 1.75 21.75 0.0312 0.0139254
  744 1.75 22.25 0.024 0.0107118
  745 1.75 22.75 0.0196 0.008748
  746 1.75 23.25 0.015 0.00669489
  747 1.75 23.75 0.0092 0.0041062
  748 1.75 24.25 0.0048 0.00214237
  749 1.75 24.75 0.0054 0.00241016
  750 1.75 25.25 0.0018 0.000803387
  751 1.75 25.75 0.0026 0.00116045
  752 1.75 26.25 0.0006 0.000267796
  753 1.75 26.75 0.0002 8.92653e-05
  754 1.75 27.25 0 0
  755 1.75 27.75 0 0
  756 1.75 28.25 0 0
  757 1.75 28.75 0 0
  758 1.75 29.25 0 0
  759 1.75 29.75 0 0
  760 1.75 30.25 0 0
  761 1.75 30.75 0 0
  762 1.75 31.25 0 0
  763 1.75 31.75 0 0
  764 1.75 32.25 0 0
  765 1.75 32.75 0 0
  766 1.75 33.25 0 0
  767 1.75 33.75 0 0
  768 1.75 34.25 0 0
  769 1.75 34.75 0 0
  770 1.75 35.25 0 0
  771 1.75 35.75 0 0
  772 1.75 36.25 0 0
  773 1.75 36.75 0 0
  774 1.75 37.25 0 0
  775 1.75 37.75 0 0
  776 1.75 38.25 0 0
  777 1.75 38.75 0 0
  778 1.75 39.25 0 0
  779 1.75 39.75 0 0
  780 1.75 40.25 0 0
  781 1.75 40.75 0 0
  782 1.75 41.25 0 0
  783 1.75 41.75 0 0
  784 1.75 42.25 0 0
  785 1.75 42.75 0 0
  786 1.75 43.25 0 0
  787 1.75 43.75 0 0
  788 1.75 44.25 0 0
  789 1.75 44.75 0 0
  790 1.75 45.25 0 0
  791 1.75 45.75 0 0
  792 1.75 46.25 0 0
  793 1.75 46.75 0 0
  794 1.75 47.25 0 0
  795 1.75 47.75 0 0
  796 1.75 48.25 0 0
  797 1.75 48.75 0 0
  798 1.75 49.25 0 0
  799 1.75 49.75 0 0
  800 1.75 50.25 0 0
  801 1.75 50.75 0 0
  802 1.75 51.25 0 0
  803 1.75 51.75 0 0
  804 1.75 52.25 0 0
  805 1.75 52.75 0 0
  806 1.75 53.25 0 0
  807 1.75 53.75 0 0
  808 1.75 54.25 0 0
  809 1.75 54.75 0 0
  810 1.75 55.25 0 0
  811 1.75 55.75 0 0
  812 1.75 56.25 0 0
  813 1.75 56.75 0 0
  814 1.75 57.25 0 0
  815 1.75 57.75 0 0
  816 1.75 58.25 0 0
  817 1.75 58.75 0 0
  818 1.75 59.25 0 0
  819 1.75 59.75 0 0
  820 1.75 60.25 0 0
  821 1.75 60.75 0 0
  822 1.75 61.25 0 0
  823 1.75 61.75 0 0
  824 1.75 62.25 0 0
  825 1.75 62.75 0 0
  826 1.75 63.25 0 0
  827 1.75 63.75 0 0
  828 1.75 64.25 0 0
  829 1.75 64.75 0 0
  830 1.75 65.25 0 0
  831 1.75 65.75 0 0
  832 1.75 66.25 0 0
  833 1.75 66.75 0 0
  834 1.75 67.25 0 0
  835 1.75 67.75 0 0
  836 1.75 68.25 0 0
  837 1.75 68.75 0 0
  838 1.75 69.25 0 0
  839 1.75 69.75 0 0
  840 1.75 70.25 0 0
