# Chunk-averaged data for fix dmap and group liq
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/mass
100000 37280 15316.000000000104
  201 0.25 100.25 0 0
  202 0.25 100.75 0 0
  203 0.25 101.25 0 0
  204 0.25 101.75 0 0
  205 0.25 102.25 0 0
  206 0.25 102.75 0 0
  207 0.25 103.25 0 0
  208 0.25 103.75 0 0
  209 0.25 104.25 0 0
  210 0.25 104.75 0 0
  211 0.25 105.25 0 0
  212 0.25 105.75 0 0
  213 0.25 106.25 0 0
  214 0.25 106.75 0 0
  215 0.25 107.25 0 0
  216 0.25 107.75 0 0
  217 0.25 108.25 0 0
  218 0.25 108.75 0 0
  219 0.25 109.25 0 0
  220 0.25 109.75 0 0
  221 0.25 110.25 0 0
  222 0.25 110.75 0 0
  223 0.25 111.25 0 0
  224 0.25 111.75 0 0
  225 0.25 112.25 0 0
  226 0.25 112.75 0 0
  227 0.25 113.25 0 0
  228 0.25 113.75 0 0
  229 0.25 114.25 0 0
  230 0.25 114.75 0 0
  231 0.25 115.25 0 0
  232 0.25 115.75 0 0
  233 0.25 116.25 0 0
  234 0.75 0.25 0 0
  235 0.75 0.75 0 0
  236 0.75 1.25 0 0
  237 0.75 1.75 0 0
  238 0.75 2.25 0 0
  239 0.75 2.75 0 0
  240 0.75 3.25 0 0
  241 0.75 3.75 0 0
  242 0.75 4.25 0 0
  243 0.75 4.75 0 0
  244 0.75 5.25 0 0
  245 0.75 5.75 0 0
  246 0.75 6.25 0 0
  247 0.75 6.75 0 0
  248 0.75 7.25 0 0
  249 0.75 7.75 0 0
  250 0.75 8.25 0 0
  251 0.75 8.75 0 0
  252 0.75 9.25 0 0
  253 0.75 9.75 0 0
  254 0.75 10.25 0.0012 0.000267796
  255 0.75 10.75 0.0036 0.00345874
  256 0.75 11.25 0.0054 0.0111626
  257 0.75 11.75 0.0034 0.00606945
  258 0.75 12.25 0.0026 0.000580224
  259 0.75 12.75 0.0058 0.00129435
  260 0.75 13.25 0.0148 0.00794968
  261 0.75 13.75 0.0224 0.0361992
  262 0.75 14.25 0.0376 0.0621618
  263 0.75 14.75 0.0338 0.0387433
  264 0.75 15.25 0.0516 0.0586477
  265 0.75 15.75 0.066 0.0917339
