# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
312 1069.41 -808.996 73.2683
313 1084.35 -802.746 50.9188
314 1099.86 -800.28 35.6205
315 1117.95 -805.516 26.8217
316 1139.56 -820.769 23.0009
317 1164.68 -846.394 22.1347
318 1193.56 -880.658 22.1949
319 1226.1 -920.418 21.0413
320 1261.71 -961.051 17.3137
321 1299.38 -998.428 10.4693
322 1337.49 -1028.8 0.125652
323 1373.8 -1050.02 -13.2883
324 1406.1 -1061.41 -28.9819
325 1432.95 -1063.43 -45.297
326 1454.45 -1057.42 -60.2378
327 1470.82 -1044.55 -70.7615
328 1482.72 -1025.21 -73.3719
329 1489.86 -999.494 -64.5604
330 1490.95 -966.883 -41.6125
331 1484.39 -927.442 -2.19621
332 1467.97 -882.313 53.7306
333 1440.39 -834.382 125.379
334 1400.62 -787.555 209.618
335 1348.9 -745.751 302.324
336 1286.56 -711.947 398.279
337 1216.07 -687.325 492.072
338 1141.68 -670.489 578.847
339 1068.01 -658.719 654.956
340 1000.31 -648.626 717.597
341 943.21 -637.435 765.526
342 899.898 -623.039 797.812
343 871.926 -604.877 814.211
344 858.91 -582.719 814.08
345 858.795 -556.829 797.215
346 868.409 -527.334 763.393
347 883.699 -494.489 713.792
348 900.803 -458.32 650.739
349 915.98 -418.96 577.624
350 926.178 -376.668 499.813
351 929.125 -331.646 422.477
352 923.355 -284.347 350.56
353 908.852 -235.122 288.33
354 886.661 -184.86 238.408
355 858.935 -134.435 201.338
356 828.669 -85.4713 176.226
357 799.478 -39.4304 161.051
358 774.119 2.32517 152.53
359 754.33 38.7357 148.241
360 740.356 68.6588 146.023
361 730.871 91.3475 144.444
362 723.354 106.082 142.891
363 714.59 112.706 141.633
364 701.14 111.558 141.701
365 680.392 103.636 144.775
366 650.785 90.0918 152.715
367 612.443 72.8155 167.413
368 567.227 53.7968 190.6
369 518.251 35.0861 223.041
370 468.873 18.1289 264.759
371 422.934 4.32835 314.465
372 384.375 -5.35906 369.901
373 355.79 -10.6234 427.704
374 339.278 -10.8735 484.36
375 335.642 -6.00161 535.704
376 344.293 4.58696 578.727
377 363.233 21.239 610.643
378 389.214 43.5912 629.637
379 418.31 70.1902 634.05
380 447.298 98.1234 622.77
381 473.412 123.774 595.237
382 494.869 143.24 552.875
383 510.717 153.39 498.403
384 520.728 153.119 437.453
385 525.692 142.162 376.225
386 526.948 122.329 321.902
387 526.638 96.2749 280.481
388 526.535 66.8183 256.08
389 528.839 36.8019 250.144
390 534.856 8.31329 261.265
391 545.171 -17.9509 285.348
392 560.177 -42.089 316.927
393 579.527 -65.2914 350.352
394 601.546 -89.4195 380.295
395 624.283 -116.258 402.633
396 645.504 -147.535 414.398
397 662.522 -183.853 414.012
398 673.586 -224.518 401.691
399 677.523 -266.733 379.003
400 674.513 -305.995 348.983
401 665.362 -336.666 316.509
402 651.564 -354.524 286.815
403 634.643 -356.114 265.33
404 616.042 -341.242 256.136
405 596.793 -311.069 261.893
406 577.018 -268.597 282.836
407 556.659 -217.552 317.368
408 535.78 -161.91 361.648
409 513.53 -105.812 410.851
410 489.016 -53.382 459.58
411 460.807 -8.42875 502.83
412 427.932 26.088 537.155
413 390.215 48.4065 560.974
414 348.445 58.4256 575.273
415 304.584 56.8342 582.684
416 260.983 45.7531 586.594
417 219.631 27.2658 590.151
418 181.619 3.78275 595.808
419 147.428 -22.4369 605.352
420 115.909 -49.2153 619.717
421 86.5236 -74.5402 638.914
422 59.1556 -96.9782 662.528
423 33.9886 -116.134 688.792
424 12.0946 -132.765 715.305
