# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
422 859.773 117.047 300.089
423 820.311 116.052 325.886
424 771.124 113.215 349.363
425 717.175 109.553 368.616
426 663.981 105.814 381.897
427 616.853 102.04 388.263
428 580.77 97.8818 387.92
429 559.874 92.3312 382.364
430 556.497 84.5048 373.552
431 570.942 73.6602 363.998
432 600.926 58.4886 355.612
433 641.855 37.937 350.782
434 687.358 10.9941 351.212
435 729.765 -22.0582 358.305
436 762.554 -60.5289 372.78
437 780.711 -102.222 394.15
438 781.344 -143.84 421.368
439 763.931 -182.693 452.26
440 730.612 -215.849 484.548
441 685.024 -242.302 516.307
442 631.939 -261.519 545.663
443 576.349 -274.618 570.909
444 522.288 -283.346 590.423
445 473.442 -289.41 602.862
446 431.642 -294.901 606.255
447 396.949 -301.34 599.119
448 368.016 -309.685 579.911
449 342.192 -319.66 548.133
450 316.71 -331.038 504.658
451 288.344 -343.041 451.837
452 255 -354.798 393.518
453 215.158 -365.862 334.528
454 169.001 -375.405 279.354
455 117.739 -382.589 231.743
456 63.3991 -386.511 193.468
457 8.80513 -386.189 164.442
458 -42.9245 -380.37 142.941
459 -89.3548 -369.04 125.864
460 -128.818 -351.662 109.778
461 -161.053 -329.069 91.6935
462 -186.428 -301.665 68.9761
463 -206.556 -270.096 39.6912
464 -223.053 -234.763 2.44523
465 -237.216 -196.449 -44.4748
466 -249.315 -155.92 -102.162
467 -258.907 -114.35 -171.84
468 -265.103 -73.4445 -253.22
469 -266.896 -35.6493 -343.937
470 -263.482 -3.48294 -439.614
471 -254.972 20.1778 -534.423
472 -242.485 32.5531 -621.769
473 -228.21 32.0365 -696.251
474 -214.243 17.5753 -754.354
475 -202.484 -10.9983 -794.707
476 -193.915 -52.3041 -818.758
477 -188.634 -104.122 -829.249
478 -185.442 -163.202 -829.148
479 -183.746 -224.901 -821.68
480 -182.694 -283.963 -809.274
481 -182.423 -334.943 -793.803
482 -183.698 -372.703 -776.321
483 -187.428 -393.447 -758.287
484 -193.983 -395.981 -741.933
485 -203.062 -381.505 -729.778
486 -212.949 -353.797 -725.096
487 -221.792 -318.267 -730.069
488 -227.129 -281.209 -746.096
489 -226.52 -248.57 -772.507
490 -218.578 -224.576 -806.988
491 -202.517 -211.87 -846.037
492 -179.111 -210.673 -885.496
493 -150.373 -218.983 -923.338
494 -120.17 -233.488 -958.19
495 -93.0597 -250.294 -990.646
496 -73.4014 -265.821 -1021.81
497 -65.0728 -277.849 -1051.98
498 -70.6682 -285.86 -1080.56
499 -91.3145 -290.491 -1105.51
500 -126.697 -293.386 -1123.8
501 -175.252 -296.033 -1132.4
502 -235.02 -300.008 -1128.59
503 -302.398 -306.068 -1111.02
504 -373.529 -314.526 -1079.73
505 -443.627 -325.092 -1035.77
506 -507.299 -337.269 -980.627
507 -559.052 -349.677 -916.478
508 -593.919 -360.238 -846.35
509 -608.288 -367.717 -773.003
510 -600.237 -370.181 -700.504
511 -570.384 -366.739 -631.952
512 -521.304 -357.137 -570.505
513 -457.647 -342.334 -518.018
514 -385.007 -324.429 -474.365
515 -308.666 -306.199 -438.304
516 -233.584 -290.816 -407.091
517 -163.338 -281.126 -378.21
518 -100.302 -280.001 -349.477
519 -45.6088 -288.831 -320.592
520 -0.455605 -308.281 -292.45
521 34.473 -337.913 -266.755
522 58.7959 -375.636 -244.782
523 71.9049 -418.459 -227.163
524 73.5413 -462.064 -213.393
525 63.9186 -502.793 -201.711
526 44.2115 -536.529 -190.322
527 16.2198 -560.15 -176.687
528 -17.1678 -571.216 -158.876
529 -52.4586 -568.063 -135.714
530 -86.4898 -550.772 -106.855
531 -116.994 -520.528 -73.2975
532 -143.628 -480.398 -36.5621
533 -167.285 -433.898 1.60233
534 -189.951 -385.666 39.7544
535 -213.637 -339.835 77.1991
536 -239.981 -299.626 113.253
537 -269.795 -267.224 147.65
538 -303.77 -243.09 178.993
539 -342.015 -226.997 205.287
540 -383.788 -218.433 223.793
541 -427.651 -216.361 231.981
542 -471.051 -219.327 228.22
543 -510.876 -227.005 212.336
544 -543.205 -238.524 185.867
545 -564.914 -253.189 151.752
546 -573.909 -269.807 113.39
547 -569.4 -287.242 75.1521
548 -552.94 -303.018 40.4058
549 -527.341 -314.986 12.1617
550 -496.643 -320.942 -8.09157
551 -465.605 -319.33 -19.5118
552 -437.713 -309.752 -22.1002
553 -415.257 -293.382 -17.7074
554 -398.548 -272.124 -8.05158
555 -387.148 -248.893 3.27028
556 -379.557 -226.542 13.3919
557 -374.323 -206.37 19.1634
558 -370.418 -188.2 18.6211
559 -367.258 -170.901 10.8261
560 -364.58 -151.863 -3.86754
561 -362.403 -128.914 -24.0199
562 -361.225 -100.587 -47.4885
563 -361.07 -66.5643 -71.599
564 -362.072 -28.2002 -93.2134
565 -363.983 11.4962 -109.149
566 -365.873 49.456 -116.713
567 -366.681 82.1079 -113.294
568 -365.031 106.942 -98.2741
569 -359.789 122.661 -72.0737
570 -349.753 129.554 -37.4158
571 -334.177 129.288 1.68169
572 -313.025 124.195 39.5964
573 -287.297 116.82 71.6922
574 -258.865 108.759 94.2308
575 -230.252 100.495 105.218
576 -204.483 92.0037 104.896
577 -184.255 82.4083 95.5823
578 -171.022 70.7108 80.693
579 -164.907 56.0165 63.8848
580 -164.688 37.6284 47.921
581 -167.708 15.6246 34.4622
582 -171.469 -9.50002 23.4195
583 -173.99 -37.1062 13.7453
